,Time,Predicted label
0,2022-07-12 10:30:01,0
1,2022-07-12 11:00:01,0
2,2022-07-12 11:30:01,0
3,2022-07-12 12:00:01,0
4,2022-07-12 12:30:01,0
5,2022-07-12 13:00:01,0
6,2022-07-12 13:30:01,0
7,2022-07-12 14:00:01,0
8,2022-07-12 14:30:01,0
9,2022-07-12 15:00:01,0
10,2022-07-12 15:30:01,0
11,2022-07-12 16:00:01,0
12,2022-07-12 16:30:01,0
13,2022-07-12 17:00:01,0
14,2022-07-12 17:30:01,0
15,2022-07-12 18:00:01,0
16,2022-07-12 18:30:01,0
17,2022-07-12 19:00:01,0
18,2022-07-12 19:30:01,0
19,2022-07-12 20:00:01,0
20,2022-07-12 20:30:01,0
21,2022-07-13 05:00:01,0
22,2022-07-13 05:30:01,0
23,2022-07-13 06:00:01,0
24,2022-07-13 06:30:01,0
25,2022-07-13 07:00:01,0
26,2022-07-13 07:30:01,0
27,2022-07-13 08:00:01,0
28,2022-07-13 08:30:01,0
29,2022-07-13 09:00:01,0
30,2022-07-13 09:30:01,0
31,2022-07-13 10:00:01,0
32,2022-07-13 10:30:01,0
33,2022-07-13 11:00:01,0
34,2022-07-13 11:30:01,0
35,2022-07-13 12:00:01,0
36,2022-07-13 12:30:01,0
37,2022-07-13 13:00:01,0
38,2022-07-13 13:30:01,0
39,2022-07-13 14:00:01,0
40,2022-07-13 14:30:01,0
41,2022-07-13 15:00:01,0
42,2022-07-13 15:30:01,0
43,2022-07-13 16:00:01,0
44,2022-07-13 16:30:01,0
45,2022-07-13 17:00:01,0
46,2022-07-13 17:30:01,0
47,2022-07-13 18:00:01,0
48,2022-07-13 18:30:01,0
49,2022-07-13 19:00:01,0
50,2022-07-13 19:30:01,0
51,2022-07-13 20:00:01,0
52,2022-07-13 20:30:01,0
53,2022-07-14 05:00:01,0
54,2022-07-14 05:30:01,0
55,2022-07-14 06:00:01,0
56,2022-07-14 06:30:01,0
57,2022-07-14 07:00:01,0
58,2022-07-14 07:30:01,0
59,2022-07-14 08:00:01,0
60,2022-07-14 08:30:01,0
61,2022-07-14 09:00:01,0
62,2022-07-14 09:30:01,0
63,2022-07-14 10:00:01,0
64,2022-07-14 10:30:01,0
65,2022-07-14 11:00:01,0
66,2022-07-14 11:30:01,0
67,2022-07-14 12:00:01,0
68,2022-07-14 12:30:01,0
69,2022-07-14 13:00:01,0
70,2022-07-14 13:30:01,0
71,2022-07-14 14:00:01,0
72,2022-07-14 14:30:01,0
73,2022-07-14 15:00:01,0
74,2022-07-14 15:30:01,0
75,2022-07-14 16:00:01,0
76,2022-07-14 16:30:01,0
77,2022-07-14 17:00:01,0
78,2022-07-14 17:30:01,0
79,2022-07-14 18:00:01,0
80,2022-07-14 18:30:01,0
81,2022-07-14 19:00:01,0
82,2022-07-14 19:30:01,0
83,2022-07-14 20:00:01,0
84,2022-07-14 20:30:01,0
85,2022-07-15 05:00:01,0
86,2022-07-15 05:30:01,0
87,2022-07-15 06:00:01,0
88,2022-07-15 06:30:01,0
89,2022-07-15 07:00:01,0
90,2022-07-15 07:30:01,0
91,2022-07-15 08:00:01,0
92,2022-07-15 08:30:01,0
93,2022-07-15 09:00:01,0
94,2022-07-15 09:30:01,0
95,2022-07-15 10:00:01,0
96,2022-07-15 10:30:01,0
97,2022-07-15 11:00:01,0
98,2022-07-15 11:30:01,0
99,2022-07-15 12:00:01,0
100,2022-07-15 12:30:01,0
101,2022-07-15 13:00:01,0
102,2022-07-15 13:30:01,0
103,2022-07-15 14:00:01,0
104,2022-07-15 14:30:01,0
105,2022-07-15 15:00:01,0
106,2022-07-15 15:30:01,0
107,2022-07-15 16:00:01,0
108,2022-07-15 16:30:01,0
109,2022-07-15 17:00:01,0
110,2022-07-15 17:30:01,0
111,2022-07-15 18:00:01,0
112,2022-07-15 18:30:01,0
113,2022-07-15 19:00:01,0
114,2022-07-15 19:30:01,0
115,2022-07-15 20:00:01,0
116,2022-07-15 20:30:01,0
117,2022-07-16 05:00:01,1
118,2022-07-16 05:30:01,0
119,2022-07-16 06:00:01,0
120,2022-07-16 06:30:01,0
121,2022-07-16 07:00:01,0
122,2022-07-16 07:30:01,0
123,2022-07-16 08:00:01,0
124,2022-07-16 08:30:01,0
125,2022-07-16 09:00:01,0
126,2022-07-16 09:30:01,0
127,2022-07-16 10:00:01,0
128,2022-07-16 10:30:01,0
129,2022-07-16 11:00:01,0
130,2022-07-16 11:30:01,0
131,2022-07-16 12:00:01,0
132,2022-07-16 12:30:01,0
133,2022-07-16 13:00:01,0
134,2022-07-16 13:30:01,0
135,2022-07-16 14:00:01,0
136,2022-07-16 14:30:01,0
137,2022-07-16 15:00:01,0
138,2022-07-16 15:30:01,0
139,2022-07-16 16:00:01,0
140,2022-07-16 16:30:01,0
141,2022-07-16 17:00:01,0
142,2022-07-16 17:30:01,0
143,2022-07-16 18:00:01,0
144,2022-07-16 18:30:01,0
145,2022-07-16 19:00:01,0
146,2022-07-16 19:30:01,0
147,2022-07-16 20:00:01,0
148,2022-07-16 20:30:01,0
149,2022-07-17 05:00:01,1
150,2022-07-17 05:30:01,0
151,2022-07-17 06:00:01,0
152,2022-07-17 06:30:01,0
153,2022-07-17 07:00:01,0
154,2022-07-17 07:30:01,0
155,2022-07-17 08:00:01,0
156,2022-07-17 08:30:01,0
157,2022-07-17 09:00:01,0
158,2022-07-17 09:30:01,0
159,2022-07-17 10:00:01,0
160,2022-07-17 10:30:01,0
161,2022-07-17 11:00:01,0
162,2022-07-17 11:30:01,0
163,2022-07-17 12:00:01,0
164,2022-07-17 12:30:01,0
165,2022-07-17 13:00:01,0
166,2022-07-17 13:30:01,0
167,2022-07-17 14:00:01,0
168,2022-07-17 14:30:01,0
169,2022-07-17 15:00:01,0
170,2022-07-17 15:30:01,0
171,2022-07-17 16:00:01,0
172,2022-07-17 16:30:01,0
173,2022-07-17 17:00:01,0
174,2022-07-17 17:30:01,0
175,2022-07-17 18:00:01,0
176,2022-07-17 18:30:01,0
177,2022-07-17 19:00:01,0
178,2022-07-17 19:30:01,0
179,2022-07-17 20:00:01,1
180,2022-07-17 20:30:01,0
181,2022-07-18 05:00:01,1
182,2022-07-18 05:30:01,0
183,2022-07-18 06:00:01,0
184,2022-07-18 06:30:01,0
185,2022-07-18 07:00:01,0
186,2022-07-18 07:30:01,0
187,2022-07-18 08:00:01,0
188,2022-07-18 08:30:01,0
189,2022-07-18 09:00:01,0
190,2022-07-18 09:30:01,0
191,2022-07-18 10:00:01,0
192,2022-07-18 10:30:01,0
193,2022-07-18 11:00:01,0
194,2022-07-18 11:30:01,0
195,2022-07-18 12:00:01,0
196,2022-07-18 12:30:01,0
197,2022-07-18 13:00:01,0
198,2022-07-18 13:30:01,0
199,2022-07-18 14:00:01,0
200,2022-07-18 14:30:01,0
201,2022-07-18 15:00:01,0
202,2022-07-18 15:30:01,0
203,2022-07-18 16:00:01,0
204,2022-07-18 16:30:01,0
205,2022-07-18 17:00:01,0
206,2022-07-18 17:30:01,0
207,2022-07-18 18:00:01,0
208,2022-07-18 18:30:01,0
209,2022-07-18 19:00:01,0
210,2022-07-18 19:30:01,0
211,2022-07-18 20:00:01,0
212,2022-07-18 20:30:01,0
213,2022-07-19 05:00:01,1
214,2022-07-19 05:30:01,1
215,2022-07-19 06:00:01,0
216,2022-07-19 06:30:01,0
217,2022-07-19 07:00:01,0
218,2022-07-19 07:30:01,0
219,2022-07-19 08:00:01,0
220,2022-07-19 08:30:01,0
221,2022-07-19 09:00:01,0
222,2022-07-19 09:30:01,0
223,2022-07-19 10:00:01,0
224,2022-07-19 10:30:01,0
225,2022-07-19 11:00:01,0
226,2022-07-19 11:30:01,0
227,2022-07-19 12:00:01,0
228,2022-07-19 12:30:01,0
229,2022-07-19 13:00:01,0
230,2022-07-19 13:30:01,0
