,Time,Image file,File path,Predicted label
533,2022-09-13 15:00:01,WSCT9093.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9093.JPG,0
250,2022-09-13 15:30:01,WSCT9094.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9094.JPG,0
226,2022-09-13 16:00:01,WSCT9095.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9095.JPG,0
69,2022-09-13 16:30:01,WSCT9096.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9096.JPG,0
91,2022-09-13 17:00:01,WSCT9097.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9097.JPG,0
2215,2022-09-13 17:30:01,WSCT9098.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9098.JPG,0
2194,2022-09-13 18:00:01,WSCT9099.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9099.JPG,1
1862,2022-09-13 18:30:01,WSCT9100.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9100.JPG,0
1972,2022-09-13 19:00:01,WSCT9101.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9101.JPG,1
2121,2022-09-13 19:30:01,WSCT9102.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9102.JPG,0
154,2022-09-14 06:30:01,WSCT9108.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9108.JPG,0
9,2022-09-14 07:00:01,WSCT9109.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9109.JPG,0
2420,2022-09-14 07:30:01,WSCT9110.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9110.JPG,0
2283,2022-09-14 08:00:01,WSCT9111.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9111.JPG,0
2142,2022-09-14 08:30:01,WSCT9112.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9112.JPG,0
2270,2022-09-14 09:00:01,WSCT9113.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9113.JPG,0
1861,2022-09-14 09:30:01,WSCT9114.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9114.JPG,1
1976,2022-09-14 10:00:01,WSCT9115.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9115.JPG,0
2116,2022-09-14 10:30:01,WSCT9116.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9116.JPG,0
2008,2022-09-14 11:00:01,WSCT9117.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9117.JPG,0
484,2022-09-14 11:30:01,WSCT9118.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9118.JPG,0
608,2022-09-14 12:00:01,WSCT9119.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9119.JPG,0
144,2022-09-14 12:30:01,WSCT9120.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9120.JPG,0
15,2022-09-14 13:00:01,WSCT9121.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9121.JPG,0
178,2022-09-14 13:30:01,WSCT9122.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9122.JPG,0
299,2022-09-14 14:00:01,WSCT9123.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9123.JPG,0
475,2022-09-14 14:30:01,WSCT9124.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9124.JPG,0
616,2022-09-14 15:00:01,WSCT9125.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9125.JPG,0
458,2022-09-14 15:30:01,WSCT9126.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9126.JPG,0
320,2022-09-14 16:00:01,WSCT9127.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9127.JPG,0
1854,2022-09-14 16:30:01,WSCT9128.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9128.JPG,0
1984,2022-09-14 17:00:01,WSCT9129.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9129.JPG,0
471,2022-09-14 17:30:01,WSCT9130.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9130.JPG,0
618,2022-09-14 18:00:01,WSCT9131.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9131.JPG,0
