,Time,Predicted label
0,2022-07-19 12:07:23,1
1,2022-07-19 12:37:23,0
2,2022-07-19 13:07:23,0
3,2022-07-19 13:37:23,0
4,2022-07-19 14:07:23,0
5,2022-07-19 14:37:23,0
6,2022-07-19 15:07:23,0
7,2022-07-19 15:37:23,0
8,2022-07-19 16:07:23,0
9,2022-07-19 16:37:23,0
10,2022-07-19 17:07:23,0
11,2022-07-19 17:37:23,0
12,2022-07-19 18:07:23,0
13,2022-07-19 18:37:23,0
14,2022-07-19 19:07:23,0
15,2022-07-19 19:37:23,0
16,2022-07-20 06:00:01,1
17,2022-07-20 06:30:01,1
18,2022-07-20 07:00:01,1
19,2022-07-20 07:30:01,1
20,2022-07-20 08:00:01,1
21,2022-07-20 08:30:01,1
22,2022-07-20 09:00:01,1
23,2022-07-20 09:30:01,1
24,2022-07-20 10:00:01,0
25,2022-07-20 10:30:01,0
26,2022-07-20 11:00:01,0
27,2022-07-20 11:30:01,0
28,2022-07-20 12:00:01,0
29,2022-07-20 12:30:01,0
30,2022-07-20 13:00:01,0
31,2022-07-20 13:30:01,0
32,2022-07-20 14:00:01,0
33,2022-07-20 14:30:01,0
34,2022-07-20 15:00:01,0
35,2022-07-20 15:30:01,0
36,2022-07-20 16:00:01,0
37,2022-07-20 16:30:01,0
38,2022-07-20 17:00:01,0
39,2022-07-20 17:30:01,0
40,2022-07-20 18:00:01,0
41,2022-07-20 18:30:01,0
42,2022-07-20 19:00:01,0
43,2022-07-20 19:30:01,0
44,2022-07-21 06:00:01,1
45,2022-07-21 06:30:01,1
46,2022-07-21 07:00:01,1
47,2022-07-21 07:30:01,1
48,2022-07-21 08:00:01,1
49,2022-07-21 08:30:01,1
50,2022-07-21 09:00:01,1
51,2022-07-21 09:30:01,1
52,2022-07-21 10:00:01,1
53,2022-07-21 10:30:01,1
54,2022-07-21 11:00:01,1
55,2022-07-21 11:30:01,1
56,2022-07-21 12:00:01,0
57,2022-07-21 12:30:01,0
58,2022-07-21 13:00:01,0
59,2022-07-21 13:30:01,0
60,2022-07-21 14:00:01,0
61,2022-07-21 14:30:01,0
62,2022-07-21 15:00:01,0
63,2022-07-21 15:30:01,0
64,2022-07-21 16:00:01,0
65,2022-07-21 16:30:01,0
66,2022-07-21 17:00:01,0
67,2022-07-21 17:30:01,0
68,2022-07-21 18:00:01,0
69,2022-07-21 18:30:01,0
70,2022-07-21 19:00:01,0
71,2022-07-21 19:30:01,0
72,2022-07-22 06:00:01,1
73,2022-07-22 06:30:01,1
74,2022-07-22 07:00:01,1
75,2022-07-22 07:30:01,1
76,2022-07-22 08:00:01,1
77,2022-07-22 08:30:01,1
78,2022-07-22 09:00:01,1
79,2022-07-22 09:30:01,0
80,2022-07-22 10:00:01,0
81,2022-07-22 10:30:01,0
82,2022-07-22 11:00:01,0
83,2022-07-22 11:30:01,0
84,2022-07-22 12:00:01,0
85,2022-07-22 12:30:01,0
86,2022-07-22 13:00:01,1
87,2022-07-22 13:30:01,0
88,2022-07-22 14:00:01,0
89,2022-07-22 14:30:01,0
90,2022-07-22 15:00:01,0
91,2022-07-22 15:30:01,0
92,2022-07-22 16:00:01,0
93,2022-07-22 16:30:01,0
94,2022-07-22 17:00:01,0
95,2022-07-22 17:30:01,0
96,2022-07-22 18:00:01,0
97,2022-07-22 18:30:01,0
98,2022-07-22 19:00:01,0
99,2022-07-22 19:30:01,0
100,2022-07-23 06:00:01,0
101,2022-07-23 06:30:01,0
102,2022-07-23 07:00:01,1
103,2022-07-23 07:30:01,0
104,2022-07-23 08:00:01,0
105,2022-07-23 08:30:01,0
106,2022-07-23 09:00:01,0
107,2022-07-23 09:30:01,0
108,2022-07-23 10:00:01,1
109,2022-07-23 10:30:01,0
110,2022-07-23 11:00:01,0
111,2022-07-23 11:30:01,0
112,2022-07-23 12:00:01,0
113,2022-07-23 12:30:01,0
114,2022-07-23 13:00:01,0
115,2022-07-23 13:30:01,0
116,2022-07-23 14:00:01,0
117,2022-07-23 14:30:01,0
118,2022-07-23 15:00:01,0
119,2022-07-23 15:30:01,0
120,2022-07-23 16:00:01,0
121,2022-07-23 16:30:01,0
122,2022-07-23 17:00:01,0
123,2022-07-23 17:30:01,0
124,2022-07-23 18:00:01,0
125,2022-07-23 18:30:01,0
126,2022-07-23 19:00:01,0
127,2022-07-23 19:30:01,0
128,2022-07-24 06:00:01,1
129,2022-07-24 06:30:01,1
130,2022-07-24 07:00:01,1
131,2022-07-24 07:30:01,1
132,2022-07-24 08:00:01,1
133,2022-07-24 08:30:01,1
134,2022-07-24 09:00:01,1
135,2022-07-24 09:30:01,1
136,2022-07-24 10:00:01,0
137,2022-07-24 10:30:01,0
138,2022-07-24 11:00:01,0
139,2022-07-24 11:30:01,0
140,2022-07-24 12:00:01,0
141,2022-07-24 12:30:01,0
142,2022-07-24 13:00:01,0
143,2022-07-24 13:30:01,0
144,2022-07-24 14:00:01,0
145,2022-07-24 14:30:01,0
146,2022-07-24 15:00:01,0
147,2022-07-24 15:30:01,0
148,2022-07-24 16:00:01,0
149,2022-07-24 16:30:01,0
150,2022-07-24 17:00:01,0
151,2022-07-24 17:30:01,0
152,2022-07-24 18:00:01,0
153,2022-07-24 18:30:01,0
154,2022-07-24 19:00:01,0
155,2022-07-24 19:30:01,0
156,2022-07-25 06:00:01,0
157,2022-07-25 06:30:01,0
158,2022-07-25 07:00:01,0
159,2022-07-25 07:30:01,1
160,2022-07-25 08:00:01,0
161,2022-07-25 08:30:01,0
162,2022-07-25 09:00:01,1
163,2022-07-25 09:30:01,0
164,2022-07-25 10:00:01,0
165,2022-07-25 10:30:01,0
166,2022-07-25 11:00:01,0
167,2022-07-25 11:30:01,0
168,2022-07-25 12:00:01,0
169,2022-07-25 12:30:01,0
170,2022-07-25 13:00:01,0
171,2022-07-25 13:30:01,0
172,2022-07-25 14:00:01,0
173,2022-07-25 14:30:01,0
174,2022-07-25 15:00:01,0
175,2022-07-25 15:30:01,0
176,2022-07-25 16:00:01,0
177,2022-07-25 16:30:01,0
178,2022-07-25 17:00:01,0
179,2022-07-25 17:30:01,0
180,2022-07-25 18:00:01,0
181,2022-07-25 18:30:01,0
182,2022-07-25 19:00:01,0
183,2022-07-25 19:30:01,0
184,2022-07-26 06:00:01,0
185,2022-07-26 06:30:01,0
186,2022-07-26 07:00:01,0
187,2022-07-26 07:30:01,0
188,2022-07-26 08:00:01,0
189,2022-07-26 08:30:01,0
190,2022-07-26 09:00:01,0
191,2022-07-26 09:30:01,0
192,2022-07-26 10:00:01,0
193,2022-07-26 10:30:01,0
194,2022-07-26 11:00:01,0
195,2022-07-26 11:30:01,0
196,2022-07-26 12:00:01,0
197,2022-07-26 12:30:01,0
198,2022-07-26 13:00:01,0
199,2022-07-26 13:30:01,0
200,2022-07-26 14:00:01,0
201,2022-07-26 14:30:01,0
202,2022-07-26 15:00:01,0
203,2022-07-26 15:30:01,0
204,2022-07-26 16:00:01,0
205,2022-07-26 16:30:01,0
206,2022-07-26 17:00:01,0
207,2022-07-26 17:30:01,0
208,2022-07-26 18:00:01,0
209,2022-07-26 18:30:01,0
210,2022-07-26 19:00:01,0
