time,latitude,longitude,Height
2022-04-30 17:01:17,48.4761142749827,-123.05641204018637,770.63934
2022-04-30 17:06:17,48.4761142749827,-123.05641204018637,698.9165
2022-04-30 17:11:17,48.4761142749827,-123.05641204018637,
2022-04-30 17:16:17,48.4761142749827,-123.05641204018637,
2022-04-30 17:21:17,48.4761142749827,-123.05641204018637,
2022-04-30 17:26:17,48.4761142749827,-123.05641204018637,522.81396
2022-04-30 17:31:17,48.4761142749827,-123.05641204018637,
2022-04-30 17:36:17,48.4761142749827,-123.05641204018637,542.0418
2022-04-30 17:41:17,48.4761142749827,-123.05641204018637,530.44403
2022-04-30 17:46:17,48.4761142749827,-123.05641204018637,577.1402
2022-04-30 17:51:17,48.4761142749827,-123.05641204018637,567.0685
2022-04-30 17:56:17,48.4761142749827,-123.05641204018637,580.19226
2022-04-30 18:01:17,48.4761142749827,-123.05641204018637,568.5945
2022-04-30 18:06:17,48.4761142749827,-123.05641204018637,595.7576
2022-04-30 18:11:17,48.4761142749827,-123.05641204018637,615.90106
2022-04-30 18:16:17,48.4761142749827,-123.05641204018637,646.7266
2022-04-30 18:21:17,48.4761142749827,-123.05641204018637,653.44116
2022-04-30 18:26:17,48.4761142749827,-123.05641204018637,664.42847
2022-04-30 18:31:17,48.4761142749827,-123.05641204018637,643.9798
2022-04-30 18:36:17,48.4761142749827,-123.05641204018637,574.6986
2022-04-30 18:41:17,48.4761142749827,-123.05641204018637,563.1008
2022-04-30 18:46:17,48.4761142749827,-123.05641204018637,583.24426
2022-04-30 18:51:17,48.4761142749827,-123.05641204018637,571.3413
2022-04-30 18:56:17,48.4761142749827,-123.05641204018637,569.51013
2022-04-30 19:01:17,48.4761142749827,-123.05641204018637,643.3694
2022-04-30 19:06:17,48.4761142749827,-123.05641204018637,652.83075
2022-04-30 19:11:17,48.4761142749827,-123.05641204018637,715.0923
2022-04-30 19:16:17,48.4761142749827,-123.05641204018637,629.63525
2022-04-30 19:21:17,48.4761142749827,-123.05641204018637,643.6746
2022-04-30 19:26:17,48.4761142749827,-123.05641204018637,638.18097
2022-04-30 19:31:17,48.4761142749827,-123.05641204018637,636.34973
2022-04-30 19:36:17,48.4761142749827,-123.05641204018637,640.62256
2022-04-30 19:41:17,48.4761142749827,-123.05641204018637,551.8083
2022-04-30 19:46:17,48.4761142749827,-123.05641204018637,
2022-04-30 19:51:17,48.4761142749827,-123.05641204018637,
2022-04-30 19:56:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:01:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:06:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:11:17,48.4761142749827,-123.05641204018637,538.07416
2022-04-30 20:16:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:21:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:26:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:31:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:36:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:41:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:46:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:51:17,48.4761142749827,-123.05641204018637,
2022-04-30 20:56:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:01:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:06:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:11:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:16:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:21:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:26:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:31:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:36:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:41:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:46:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:51:17,48.4761142749827,-123.05641204018637,
2022-04-30 21:56:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:01:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:06:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:11:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:16:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:21:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:26:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:31:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:36:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:41:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:46:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:51:17,48.4761142749827,-123.05641204018637,
2022-04-30 22:56:17,48.4761142749827,-123.05641204018637,
2022-05-01 05:01:17,48.4761142749827,-123.05641204018637,808.7898
2022-05-01 05:06:17,48.4761142749827,-123.05641204018637,794.14
2022-05-01 05:11:17,48.4761142749827,-123.05641204018637,769.72375
2022-05-01 05:16:17,48.4761142749827,-123.05641204018637,776.43823
2022-05-01 05:21:17,48.4761142749827,-123.05641204018637,790.1724
2022-05-01 05:26:17,48.4761142749827,-123.05641204018637,828.9333
2022-05-01 05:31:17,48.4761142749827,-123.05641204018637,893.02606
2022-05-01 05:36:17,48.4761142749827,-123.05641204018637,872.8826
2022-05-01 05:41:17,48.4761142749827,-123.05641204018637,979.0935
2022-05-01 05:46:17,48.4761142749827,-123.05641204018637,989.77563
2022-05-01 05:51:17,48.4761142749827,-123.05641204018637,1027.3157
2022-05-01 05:56:17,48.4761142749827,-123.05641204018637,4977.262
