time,latitude,longitude,Height
2022-04-30 17:01:17,48.45496727360499,-122.9612505339867,770.63934
2022-04-30 17:06:17,48.45496727360499,-122.9612505339867,698.9165
2022-04-30 17:11:17,48.45496727360499,-122.9612505339867,
2022-04-30 17:16:17,48.45496727360499,-122.9612505339867,
2022-04-30 17:21:17,48.45496727360499,-122.9612505339867,
2022-04-30 17:26:17,48.45496727360499,-122.9612505339867,522.81396
2022-04-30 17:31:17,48.45496727360499,-122.9612505339867,
2022-04-30 17:36:17,48.45496727360499,-122.9612505339867,542.0418
2022-04-30 17:41:17,48.45496727360499,-122.9612505339867,530.44403
2022-04-30 17:46:17,48.45496727360499,-122.9612505339867,577.1402
2022-04-30 17:51:17,48.45496727360499,-122.9612505339867,567.0685
2022-04-30 17:56:17,48.45496727360499,-122.9612505339867,580.19226
2022-04-30 18:01:17,48.45496727360499,-122.9612505339867,568.5945
2022-04-30 18:06:17,48.45496727360499,-122.9612505339867,595.7576
2022-04-30 18:11:17,48.45496727360499,-122.9612505339867,615.90106
2022-04-30 18:16:17,48.45496727360499,-122.9612505339867,646.7266
2022-04-30 18:21:17,48.45496727360499,-122.9612505339867,653.44116
2022-04-30 18:26:17,48.45496727360499,-122.9612505339867,664.42847
2022-04-30 18:31:17,48.45496727360499,-122.9612505339867,643.9798
2022-04-30 18:36:17,48.45496727360499,-122.9612505339867,574.6986
2022-04-30 18:41:17,48.45496727360499,-122.9612505339867,563.1008
2022-04-30 18:46:17,48.45496727360499,-122.9612505339867,583.24426
2022-04-30 18:51:17,48.45496727360499,-122.9612505339867,571.3413
2022-04-30 18:56:17,48.45496727360499,-122.9612505339867,569.51013
2022-04-30 19:01:17,48.45496727360499,-122.9612505339867,643.3694
2022-04-30 19:06:17,48.45496727360499,-122.9612505339867,652.83075
2022-04-30 19:11:17,48.45496727360499,-122.9612505339867,715.0923
2022-04-30 19:16:17,48.45496727360499,-122.9612505339867,629.63525
2022-04-30 19:21:17,48.45496727360499,-122.9612505339867,643.6746
2022-04-30 19:26:17,48.45496727360499,-122.9612505339867,638.18097
2022-04-30 19:31:17,48.45496727360499,-122.9612505339867,636.34973
2022-04-30 19:36:17,48.45496727360499,-122.9612505339867,640.62256
2022-04-30 19:41:17,48.45496727360499,-122.9612505339867,551.8083
2022-04-30 19:46:17,48.45496727360499,-122.9612505339867,
2022-04-30 19:51:17,48.45496727360499,-122.9612505339867,
2022-04-30 19:56:17,48.45496727360499,-122.9612505339867,
2022-04-30 20:01:17,48.45496727360499,-122.9612505339867,
